model,Zgas,Zdust,Sgas_16,Sgas_50,Sgas_84,fcnm_16,fcnm_50,fcnm_84
S150-Om100q0-Z0.1,0.100,0.100,54.796,65.192,86.445,0.007,0.016,0.033
S150-Om100q0-Z1.0,1.000,1.000,55.362,71.525,83.306,0.130,0.206,0.296
S150-Om200-Z0.1,0.100,0.100,107.159,114.010,122.814,0.039,0.055,0.074
S150-Om200-Z1.0,1.000,1.000,80.235,86.945,98.434,0.317,0.353,0.390
S150-Om200-Z1.0r,1.000,1.000,93.143,103.550,119.464,0.301,0.345,0.377
LGR4-b1-Zg0.1Zd0.025,0.100,0.025,40.203,42.517,44.627,0.052,0.078,0.137
LGR4-b1-Z0.1,0.100,0.100,42.865,44.229,46.536,0.010,0.028,0.082
LGR4-b1-Z0.3,0.300,0.300,39.680,42.019,44.260,0.049,0.086,0.172
LGR4-b1-Z1.0,1.000,1.000,33.097,35.998,39.022,0.177,0.221,0.309
LGR4-b1-Z3.0,3.000,3.000,32.069,35.262,39.597,0.326,0.350,0.418
LGR4-b10-Z0.1,0.100,0.100,39.827,41.322,43.424,0.015,0.032,0.068
LGR4-b10-Z1.0,1.000,1.000,30.909,33.101,35.977,0.170,0.228,0.296
S100-Z0.1,0.100,0.100,52.547,62.112,72.645,0.009,0.018,0.044
S100-Z1.0,1.000,1.000,33.022,40.838,51.738,0.114,0.177,0.417
S100-Z1.0r,1.000,1.000,42.099,52.844,67.645,0.147,0.212,0.289
S05-Z0.1,0.100,0.100,4.738,4.760,4.796,0.001,0.005,0.022
S05-Z1.0,1.000,1.000,3.931,4.086,4.209,0.082,0.223,0.350
R8-b1-Zg0.1Zd0.025,0.100,0.025,9.965,10.321,10.652,0.013,0.045,0.071
R8-b1-Z0.1,0.100,0.100,10.392,10.622,10.919,0.006,0.027,0.075
R8-b1-Z0.3,0.300,0.300,9.569,9.970,10.346,0.036,0.066,0.111
R8-b1-Z1.0,1.000,1.000,8.699,9.198,9.779,0.093,0.163,0.253
R8-b1-Z3.0,3.000,3.000,8.132,8.729,9.387,0.236,0.279,0.346
R8-b10-Zg0.1Zd0.025,0.100,0.025,10.034,10.220,10.491,0.009,0.032,0.087
R8-b10-Z0.1,0.100,0.100,10.146,10.354,10.720,0.005,0.021,0.059
R8-b10-Z0.3,0.300,0.300,9.384,9.872,10.232,0.028,0.068,0.159
R8-b10-Z1.0,1.000,1.000,8.312,8.753,9.289,0.107,0.143,0.227
S30-Z0.1,0.100,0.100,20.873,22.394,24.281,0.006,0.015,0.030
S30-Z1.0,1.000,1.000,14.057,15.954,18.444,0.103,0.144,0.187
